cycle,time,MAD,class
0,5,11.772626053826988,0
0,6,10.5723014137174,0
0,7,11.14463945745091,0
0,8,6.087726871142247,0
0,9,3.708908419143106,0
0,10,1.3790656941321449,0
0,11,0.30083747860897037,0
0,12,0.17059478425463404,0
0,13,0.14428065217073022,0
0,14,0.17475903928195474,0
0,15,0.2751115299489358,0
0,16,0.851432079017076,0
0,17,1.3222035585875005,0
0,18,0.9852178194065393,0
0,19,1.1050952650673551,0
0,20,0.9310282327603961,0
0,21,0.9447043157836184,0
0,22,0.3907624712173654,0
0,23,0.17717403397605375,0
0,24,0.2063774885608444,0
0,25,0.09587398628762472,0
0,26,0.08575220430543315,0
0,27,0.03664775746082819,0
0,28,0.005950584522429641,0
0,29,0.09480464292591544,0
1,5,3.7022738155225112,3
1,6,5.569194381184113,3
1,7,4.513763570239963,3
1,8,11.628017201474327,3
1,9,12.853002545190614,3
1,10,6.415115178667077,3
1,11,4.694605216036619,3
1,12,1.6031167631456555,3
1,13,1.8336998353338245,3
1,14,2.9366735216914948,3
1,15,1.9941394670885346,3
1,16,0.9349581565511448,3
1,17,0.4303931662842247,3
1,18,0.39446603245069733,3
1,19,0.3760864842230578,3
1,20,0.5616024251259062,3
1,21,0.7698382791977176,3
1,22,0.44975632291386913,3
1,23,0.46333322182804154,3
1,24,0.3292926949675244,3
1,25,0.24112595723333588,3
1,26,0.07779533714048247,3
1,27,0.05289639406099367,3
1,28,0.05895163722455911,3
1,29,0.20421022578535794,3
2,5,2.0423471406130824,2
2,6,3.2355214562425183,2
2,7,5.468575957385142,2
2,8,4.0417314504199995,2
2,9,3.734821304278361,2
2,10,13.099597363973022,2
2,11,26.470049673914723,2
2,12,26.726743676418927,2
2,13,24.964386361288174,2
2,14,24.541131849587284,2
2,15,19.7071594198285,2
2,16,16.067426161346567,2
2,17,19.35786013602716,2
2,18,16.16602531156113,2
2,19,8.860117079557247,2
2,20,2.425203871664327,2
2,21,3.6221261955712154,2
2,22,3.5838094745842395,2
2,23,3.812387620471599,2
2,24,1.5216699118616261,2
2,25,0.9301358929623071,2
2,26,2.2319571389369597,2
2,27,4.170784256849713,2
2,28,4.121903471797907,2
2,29,4.593263436331654,2
3,5,21.780089903059555,1
3,6,27.587757716509447,1
3,7,10.326769957854433,1
3,8,6.538039900301177,1
3,9,8.842588629108631,1
3,10,10.546363321564128,1
3,11,9.95575580303313,1
3,12,10.512669881787444,1
3,13,13.211208611063105,1
3,14,12.681265645616936,1
3,15,14.22852458491325,1
3,16,11.487857244751584,1
3,17,15.428306257966522,1
3,18,15.10092929675085,1
3,19,12.369255690048684,1
3,20,10.825907759919996,1
3,21,14.721001773995118,1
3,22,9.214510491313641,1
3,23,7.269837332561934,1
3,24,8.289040014654713,1
3,25,5.879134914462796,1
3,26,2.8324831760043323,1
3,27,0.7521802265071837,1
3,28,1.173694174243508,1
3,29,1.7671024494872363,1
4,5,0.3520010671812636,0
4,6,0.40221388521359686,0
4,7,0.2055378465427334,0
4,8,0.15572600766927255,0
4,9,0.11333584283250374,0
4,10,0.09565239946788336,0
4,11,0.10362877799968152,0
4,12,0.07794217937822635,0
4,13,0.1122522062604924,0
4,14,0.15604355216669732,0
4,15,0.16960220095013254,0
4,16,0.12137615737790369,0
4,17,0.08093044846706768,0
4,18,0.07397326208012263,0
4,19,0.08538243910923067,0
4,20,0.14156927443915002,0
4,21,0.21430945834082635,0
4,22,0.20694576670482068,0
4,23,0.1306728224473936,0
4,24,0.32931906679225287,0
4,25,0.529206170941634,0
4,26,0.5845355935270372,0
4,27,1.2235703544374958,0
4,28,3.7122422714394725,0
4,29,2.0358088199666375,0
5,5,0.3726303686050628,2
5,6,0.45738326345091934,2
5,7,1.9260976253280555,2
5,8,1.9338875700792555,2
5,9,2.621515763076784,2
5,10,3.7550332651416753,2
5,11,3.154924297084009,2
5,12,3.9685191019039774,2
5,13,1.9191541689171676,2
5,14,2.812345293520186,2
5,15,6.572706629346182,2
5,16,11.186814789754893,2
5,17,20.52299419802491,2
5,18,13.11812392531277,2
5,19,16.035532480515602,2
5,20,19.44603291938536,2
5,21,31.8343147598545,2
5,22,22.776231007337174,2
5,23,8.48206986129499,2
5,24,4.351657040931348,2
5,25,2.6600933022464943,2
5,26,0.9024608819434182,2
5,27,0.3050963246439249,2
5,28,0.8341781819322233,2
5,29,1.4386446025847797,2
6,5,6.588851323302094,2
6,6,18.741186094258463,2
6,7,17.093614967533785,2
6,8,10.087581506092942,2
6,9,9.706770418025904,2
6,10,6.783890938303561,2
6,11,21.260547745561457,2
6,12,22.455024642726713,2
6,13,15.194782386162299,2
6,14,4.513893728771832,2
6,15,0.8312654762225861,2
6,16,1.4924119361691373,2
6,17,1.1693963598450625,2
6,18,1.0600669258841326,2
6,19,0.5308045445710611,2
6,20,0.3791403746070898,2
6,21,0.22124108494377218,2
6,22,0.4471217504119925,2
6,23,0.6844979593163426,2
6,24,0.7292774420771022,2
6,25,0.8651937598331895,2
6,26,0.4701830012047911,2
6,27,0.20252896174461726,2
6,28,0.5861434007402834,2
6,29,0.8777930499399518,2
7,5,17.38565627240412,2
7,6,21.647898537240614,2
7,7,22.55350132414522,2
7,8,16.87422341316464,2
7,9,4.308693080549383,2
7,10,1.2761058901949898,2
7,11,2.219817453610851,2
7,12,1.9810380840445327,2
7,13,1.2879515798699497,2
7,14,0.8840449525706437,2
7,15,0.7320017626708404,2
7,16,0.815793332877313,2
7,17,1.1358442166737248,2
7,18,1.6705614638739077,2
7,19,2.517612148250005,2
7,20,2.8805700187560928,2
7,21,2.8754714923244404,2
7,22,2.4791904777090044,2
7,23,2.9231878055409037,2
7,24,2.5242594118104704,2
7,25,1.1465530413102922,2
7,26,1.292139392964814,2
7,27,1.7024739540275526,2
7,28,2.0857631172307034,2
7,29,5.9282211974844055,2
8,5,2.7574712497521197,2
8,6,0.8511069873286928,2
8,7,0.7201249899955994,2
8,8,0.517164272984451,2
8,9,0.17736249885510869,2
8,10,1.8539427822582568,2
8,11,1.8588605516319814,2
8,12,1.4507489101066902,2
8,13,3.6927837814889846,2
8,14,6.265985951840556,2
8,15,7.247039187672602,2
8,16,10.113053059265598,2
8,17,12.1301429284051,2
8,18,6.358850807174518,2
8,19,5.865666840721099,2
8,20,5.705419784316415,2
8,21,20.399486496881316,2
8,22,32.90855782164165,2
8,23,27.770304797219932,2
8,24,16.436699422957744,2
8,25,10.939435747069352,2
8,26,9.246109827684547,2
8,27,4.482000936142895,2
8,28,2.1123862153240425,2
8,29,2.283341068188549,2
9,5,7.106835961314866,0
9,6,5.842025122370996,0
9,7,5.946428056811046,0
9,8,7.224538728752261,0
9,9,9.546279661487887,0
9,10,5.839313845013808,0
9,11,14.685610022038754,0
9,12,30.533256172728095,0
9,13,31.35972411192623,0
9,14,27.707698047209472,0
9,15,25.779468966744812,0
9,16,26.521561292626078,0
9,17,17.37829078005782,0
9,18,7.112228163505877,0
9,19,5.767576421663337,0
9,20,3.516328439345062,0
9,21,4.352725666404097,0
9,22,2.8114076039364013,0
9,23,2.512815232441741,0
9,24,2.050876411899456,0
9,25,1.2543283719658012,0
9,26,1.1609009100424932,0
9,27,0.7753210410080948,0
9,28,0.7378930149038989,0
9,29,0.3150423057225343,0
10,5,15.824339331746739,0
10,6,19.486313557144122,0
10,7,18.758236268754167,0
10,8,18.75182981807603,0
10,9,11.209586599649588,0
10,10,13.270151945237993,0
10,11,19.45758877597051,0
10,12,26.682470279782297,0
10,13,23.16237527647189,0
10,14,19.65908662578098,0
10,15,25.735840954490644,0
10,16,20.98651580550116,0
10,17,19.707377485737766,0
10,18,13.414512660035768,0
10,19,14.726589645207286,0
10,20,11.638518173948667,0
10,21,5.681984868690923,0
10,22,4.411659716924475,0
10,23,6.347815248135829,0
10,24,4.533921723942651,0
10,25,5.853093957933259,0
10,26,3.11645179040044,0
10,27,2.8623321514267412,0
10,28,3.2768604644104116,0
10,29,2.8198579551157636,0
11,5,17.078667239891693,1
11,6,18.965988775463256,1
11,7,21.764920286966134,1
11,8,18.127630580035152,1
11,9,12.075693832170863,1
11,10,8.89066910133721,1
11,11,8.165574102760567,1
11,12,6.0550658851703725,1
11,13,7.103597384378293,1
