cycle,time,SD,class
0,9,4200.563506234371,18
0,10,3156.5155078189123,18
0,11,6449.778081165977,18
0,12,9038.51167675814,18
0,13,10771.088448821229,18
0,14,11540.328751804385,18
0,15,11331.610928925682,18
0,16,10088.112298206039,18
0,17,7819.782124553225,18
0,18,4608.042784998115,18
0,19,326.9001222174035,18
0,20,227.85064833043174,18
0,21,408.3071908800537,18
0,22,540.6118444487596,18
0,23,620.5916820087812,18
0,24,647.3974663787129,18
0,25,615.9885835459744,18
0,26,540.9676961618401,18
0,27,415.41587538000994,18
0,28,234.45320029727813,18
0,29,3.8579435047974044,18
0,30,229.23741313402618,18
0,31,426.4688103549351,18
0,32,554.450232809561,18
0,33,625.0919428500733,18
0,34,647.9963304996072,18
0,35,622.2822302263838,18
0,36,543.3109837864462,18
0,37,406.9478334022634,18
0,38,229.22960460858602,18
0,39,4.192074507281675,18
0,40,215.92334119995238,18
0,41,397.8845981942623,18
0,42,526.0977845471472,18
0,43,611.2221971989889,18
0,44,639.0070408427772,18
0,45,617.2047350326154,18
0,46,538.7222124405948,18
0,47,423.8502517246682,18
0,48,241.40142919929164,18
0,49,2.186876435046166,18
0,50,56.355345908994465,18
0,51,100.8703634955673,18
0,52,134.32396572420026,18
0,53,150.83342890658227,18
0,54,155.68900005348982,18
0,55,152.53486633061922,18
0,56,134.57218502893048,18
0,57,103.25273634188106,18
0,58,55.30197045968003,18
0,59,0.759856541947218,18
1,9,3572.21510109319,18
1,10,2466.2323104432126,18
1,11,6196.756979712244,18
1,12,9024.396959613727,18
1,13,10843.2166703947,18
1,14,11651.411064332025,18
1,15,11437.171875310476,18
1,16,10209.9771521395,18
1,17,7947.210472654002,18
1,18,4668.090443028468,18
1,19,344.326364888272,18
1,20,229.82973672556693,18
1,21,407.86120085096707,18
1,22,530.522661529384,18
1,23,606.9890691410834,18
1,24,629.2700584212881,18
1,25,608.3051305908147,18
1,26,527.0506355046621,18
1,27,403.66473042579076,18
1,28,232.9640018345591,18
1,29,4.184213892816059,18
1,30,255.8075550792208,18
1,31,432.9131607165166,18
1,32,551.7148537756024,18
1,33,627.2791941926615,18
1,34,648.8886652881106,18
1,35,629.5425513497132,18
1,36,548.3514375392921,18
1,37,427.5251157119538,18
1,38,243.9588579604846,18
1,39,4.298264555422053,18
1,40,213.78023332676221,18
1,41,398.8273244393942,18
1,42,534.1862266657994,18
1,43,624.5160890385123,18
1,44,656.3928764684279,18
1,45,630.5957631887652,18
1,46,557.1726373473081,18
1,47,421.61227535309666,18
1,48,237.47730664214274,18
1,49,2.4351114471523996,18
1,50,56.69185218433208,18
1,51,103.72964836273228,18
1,52,136.71623591773732,18
1,53,156.01715916869333,18
1,54,163.34083058281425,18
1,55,156.5170726748144,18
1,56,139.940841062666,18
1,57,108.86269265437787,18
1,58,63.14289606273051,18
1,59,0.6024346385622305,18
2,9,3597.2139229902173,18
2,10,2489.3623214304116,18
2,11,6297.893219343326,18
2,12,9054.967243955538,18
2,13,10892.028796372946,18
2,14,11652.280224169739,18
2,15,11470.018849096312,18
2,16,10202.303116858131,18
2,17,7971.219548550634,18
2,18,4719.85024449646,18
2,19,344.0867215994065,18
2,20,236.297438466126,18
2,21,399.9686888261976,18
2,22,531.8131428429382,18
2,23,604.3016135339421,18
2,24,641.0399963083386,18
2,25,611.51628556228,18
2,26,541.0468524400651,18
2,27,412.70988140036945,18
2,28,235.3885629728819,18
2,29,4.196827783119373,18
2,30,255.6506652220032,18
2,31,441.63444300267525,18
2,32,572.5718237101005,18
2,33,654.6342288714641,18
2,34,682.5776539047466,18
2,35,657.0348827903201,18
2,36,570.896160419238,18
2,37,433.5998469582133,18
2,38,240.82188048701343,18
2,39,3.9347204814057823,18
2,40,231.2546981753965,18
2,41,418.2657914877342,18
2,42,559.3549830860983,18
2,43,647.9064389093284,18
2,44,679.5486875436192,18
2,45,649.3690962836736,18
2,46,573.1495892483675,18
2,47,434.93532829792383,18
2,48,244.91799483739322,18
2,49,1.9684405342059565,18
2,50,52.761021813683875,18
2,51,102.06656630955182,18
2,52,137.9012647153387,18
2,53,159.217131181328,18
2,54,167.5343086444642,18
2,55,159.43349665534473,18
2,56,138.91860953970735,18
2,57,105.48018896831148,18
2,58,59.77539068204657,18
2,59,0.8817255236777343,18
3,9,3680.572394893405,18
3,10,2497.5686415720497,18
3,11,6288.479224771552,18
3,12,9076.615855977603,18
3,13,10865.023114907179,18
3,14,11705.948148238826,18
3,15,11456.023607207753,18
3,16,10233.640068298319,18
3,17,7987.726039215194,18
3,18,4693.23232754273,18
3,19,342.44467569043417,18
3,20,221.79439209641643,18
3,21,386.47523768890716,18
3,22,516.3729319991206,18
3,23,596.9200461879653,18
3,24,622.462939131817,18
3,25,602.8003715559832,18
3,26,533.3381943677666,18
3,27,408.1418101045537,18
3,28,227.0404953511185,18
3,29,3.8475177543746413,18
3,30,241.28983934680232,18
3,31,422.52532621442884,18
3,32,559.4093083698701,18
3,33,641.942102182106,18
3,34,674.5719218788785,18
3,35,644.0359004085641,18
3,36,559.6060611024284,18
3,37,428.7224387863623,18
3,38,245.451892881089,18
3,39,3.8295819390079804,18
3,40,229.364728805806,18
3,41,427.0633036778633,18
3,42,563.2394157849473,18
3,43,644.5206863476541,18
3,44,670.7818692177317,18
3,45,646.1680530647434,18
3,46,568.1047202937228,18
3,47,429.91466055627956,18
3,48,233.50037741525375,18
3,49,2.0377961575978496,18
3,50,52.99618767198179,18
3,51,98.3023506719637,18
3,52,128.1905272634265,18
3,53,148.42535795318273,18
3,54,159.46797764697936,18
3,55,156.59755890291913,18
3,56,137.2900877789739,18
3,57,106.52364053304419,18
3,58,64.07956574821017,18
3,59,1.6248816928546135,18
4,9,3741.4702350697235,18
4,10,2441.2736668733655,18
4,11,6262.680574222473,18
4,12,9104.083232753359,18
4,13,10945.363774929236,18
4,14,11779.32813142455,18
4,15,11543.318437614835,18
4,16,10306.130347245906,18
4,17,8050.643694491184,18
4,18,4766.731392727024,18
4,19,371.2164548599487,18
4,20,239.9580607445026,18
4,21,412.85523448655874,18
4,22,543.999454955523,18
4,23,621.3994388453109,18
4,24,647.0549633060107,18
4,25,626.6051322814031,18
4,26,554.4955917155431,18
4,27,422.7611102948449,18
4,28,242.4237091706874,18
