cycle,time,MAD,class
0,9,2161.2158112890556,18
0,10,1703.8411525838922,18
0,11,4353.515841295683,18
0,12,6660.881299721762,18
0,13,9080.474770749219,18
0,14,10131.642016719976,18
0,15,9531.174558846671,18
0,16,7393.469714858774,18
0,17,4565.136449972789,18
0,18,1870.4407368901568,18
0,19,105.70128150793313,18
0,20,74.04762892309344,18
0,21,235.08469882653026,18
0,22,408.83675363554397,18
0,23,536.6968222929305,18
0,24,583.3043100386669,18
0,25,532.8211917670901,18
0,26,409.24143672069346,18
0,27,239.32153853909307,18
0,28,76.3675579694399,18
0,29,2.200231652049998,18
0,30,74.38568425383667,18
0,31,245.50556577298298,18
0,32,419.32779694668983,18
0,33,540.4628691221031,18
0,34,583.7267675419164,18
0,35,538.0533052906134,18
0,36,410.7956359101568,18
0,37,233.99187489705363,18
0,38,74.20699716053355,18
0,39,1.2510872594900004,18
0,40,69.66001010245343,18
0,41,228.78595116909045,18
0,42,397.67088272189017,18
0,43,528.3626634537836,18
0,44,575.4927723932236,18
0,45,533.3687120684239,18
0,46,407.03507654845026,18
0,47,243.8608444837202,18
0,48,78.07679880041344,18
0,49,1.156104871863334,18
0,50,18.196543579623327,18
0,51,57.977959575410104,18
0,52,101.53808493833344,18
0,53,130.35256848874667,18
0,54,140.2289502741866,18
0,55,131.82323843391663,18
0,56,101.65189707283996,18
0,57,59.324935648520004,18
0,58,17.882391889623378,18
0,59,0.36237238306333736,18
1,9,1166.3069661098373,18
1,10,808.7928777023868,18
1,11,3482.3140851517733,18
1,12,6649.899593717386,18
1,13,9135.454710807198,18
1,14,10220.78547493087,18
1,15,9612.626693504879,18
1,16,7474.4123042642,18
1,17,4655.365667611089,18
1,18,1905.2956303458107,18
1,19,111.01557605700985,18
1,20,74.40576274954672,18
1,21,234.89418807695694,18
1,22,401.22165929719705,18
1,23,524.8399541736234,18
1,24,566.7966959653199,18
1,25,525.9613589174363,18
1,26,398.52240774978293,18
1,27,232.38840263804968,18
1,28,75.87711561769319,18
1,29,2.408604555573322,18
1,30,82.91328294013005,18
1,31,249.03998100047679,18
1,32,416.8008131620773,18
1,33,541.8599555574641,18
1,34,583.8673718670415,18
1,35,543.7910293549877,18
1,36,414.16273502388066,18
1,37,245.89752867444025,18
1,38,79.13175643242344,18
1,39,1.0552908782399772,18
1,40,69.33219847903656,18
1,41,229.59545302654678,18
1,42,403.9920852853838,18
1,43,539.7671001533737,18
1,44,590.9987078153464,18
1,45,544.9762323801032,18
1,46,420.97905074761275,18
1,47,242.43494206547996,18
1,48,76.8153693797865,18
1,49,1.164700444573314,18
1,50,18.310381844146665,18
1,51,59.646693702716796,18
1,52,103.34443159845036,18
1,53,134.87293735422713,18
1,54,147.0930489314002,18
1,55,135.2825620068799,18
1,56,105.84261720490316,18
1,57,62.626372810333216,18
1,58,20.416786829623252,18
1,59,0.22938005011999743,18
2,9,1174.9748384664392,18
2,10,817.2501807877867,18
2,11,3536.298896702069,18
2,12,6675.2633813843195,18
2,13,9179.267655233041,18
2,14,10227.45179089908,18
2,15,9644.717419527899,18
2,16,7473.555493613653,18
2,17,4661.005946516321,18
2,18,1921.0214440157843,18
2,19,110.74619601933009,18
2,20,76.25864026441353,18
2,21,229.31427593428046,18
2,22,401.447799054851,18
2,23,521.6055402067182,18
2,24,577.0644068419182,18
2,25,528.2363933983977,18
2,26,408.83760190607757,18
2,27,237.4346686110404,18
2,28,76.55839352958681,18
2,29,2.3736756450900014,18
2,30,82.9239290231332,18
2,31,254.25053267207664,18
2,32,432.96044642122337,18
2,33,565.9900683262899,18
2,34,614.8866055653198,18
2,35,568.125461688743,18
2,36,431.7018780156798,18
2,37,249.60166880346648,18
2,38,78.18064786298648,18
2,39,0.8808911458633265,18
2,40,75.01510683008006,18
2,41,240.90592075637366,18
2,42,423.0965455778907,18
2,43,560.1942931952005,18
2,44,612.1276356356269,18
2,45,561.5161961635072,18
2,46,433.49838697504043,18
2,47,250.45036129534688,18
2,48,79.43967556137343,18
2,49,0.9636778661199951,18
2,50,17.09631528218669,18
2,51,58.65130869007674,18
2,52,104.09993787518685,18
2,53,137.49849417802682,18
2,54,150.70282144432005,18
2,55,137.60541304714678,18
2,56,104.80620995306666,18
2,57,60.511684853813435,18
2,58,19.28547883255676,18
2,59,0.4469396903333302,18
3,9,1200.209732209116,18
3,10,818.9019899092134,18
3,11,3534.3856584292243,18
3,12,6692.282430200797,18
3,13,9162.013007753374,18
3,14,10273.87699491214,18
3,15,9634.372214900748,18
3,16,7498.632683071869,18
3,17,4666.567326553971,18
3,18,1910.8817691934375,18
3,19,110.16081175754326,18
3,20,71.61095780759669,18
3,21,221.8119967594134,18
3,22,389.7702256428668,18
3,23,515.71844793517,18
3,24,560.3292469757331,18
3,25,521.0491042317034,18
3,26,403.2938179643431,18
3,27,235.02041933311986,18
3,28,73.97816359295648,18
3,29,2.1893951830633256,18
3,30,78.27566553263986,18
3,31,243.34415956112,18
3,32,423.21565778586313,18
3,33,555.2652089701197,18
3,34,607.828085593196,18
3,35,557.0180102042528,18
3,36,423.335210250867,18
3,37,246.9754801899966,18
3,38,79.79613809338316,18
3,39,0.9183642489299754,18
3,40,74.34694551760003,18
3,41,245.83867626303666,18
3,42,425.9019628635599,18
3,43,557.2260790646261,18
3,44,604.1604190118263,18
3,45,558.6553986762627,18
3,46,429.5819920292226,18
3,47,247.47659363315975,18
3,48,75.74199852499989,18
3,49,1.0265696593566527,18
3,50,17.14621027934673,18
3,51,56.559714014663584,18
3,52,96.92267843092048,18
3,53,128.28201093278722,18
3,54,143.37044191474388,18
3,55,134.97798180042358,18
3,56,103.44185437513343,18
3,57,60.67106390519661,18
3,58,20.425689653463277,18
3,59,1.0102506909032798,18
4,9,1215.5523663221868,18
4,10,793.6804239379068,18
4,11,3509.238161411969,18
4,12,6697.091268282757,18
4,13,9209.586799092369,18
4,14,10319.759948659508,18
4,15,9689.77469586141,18
4,16,7534.9361005369055,18
4,17,4740.650758291626,18
4,18,1960.7838384638096,18
4,19,119.67008013696007,18
4,20,77.45890485002336,18
4,21,237.0483024088502,18
4,22,410.72427280222644,18
4,23,536.6346253859963,18
4,24,582.1892718966261,18
4,25,541.314340043839,18
4,26,419.07692608671925,18
4,27,243.28211651514283,18
4,28,78.91635633010317,18
4,29,2.5743908340500083,18
4,30,78.50398857066678,18
4,31,244.55052602334672,18
4,32,418.4611330496936,18
4,33,544.8600657284811,18
4,34,591.1594249098678,18
4,35,545.0268714190377,18
4,36,417.37217428514435,18
4,37,242.92936189726728,18
4,38,80.41316184101339,18
4,39,1.01087318570332,18
4,40,71.03826941759674,18
4,41,241.59736146362698,18
4,42,417.19757455285384,18
4,43,551.3391088173041,18
4,44,601.7438310674003,18
4,45,556.1166962381309,18
4,46,427.88025837876023,18
4,47,245.32189170490346,18
4,48,76.73865931509354,18
4,49,1.33388348778332,18
4,50,17.414648102716686,18
4,51,59.12606559412004,18
4,52,103.94255377908024,18
4,53,138.02624494143717,18
4,54,148.64010383253373,18
4,55,136.6121178249071,18
4,56,103.56543852949376,18
4,57,59.846986978263594,18
4,58,17.99571704661342,18
4,59,0.27534260250332543,18
5,9,1216.420668474317,18
5,10,804.0257759500498,18
5,11,3539.297784953517,18
5,12,6675.707302662208,18
5,13,9197.889502109001,18
5,14,10285.677725037356,18
5,15,9668.0005665058,18
5,16,7531.953012043201,18
5,17,4678.164408129161,18
5,18,1927.2583694970094,18
5,19,114.91544114989016,18
5,20,73.75704832111678,18
5,21,234.64557315754664,18
5,22,417.13680568670657,18
5,23,539.5424646420767,18
5,24,587.507457182317,18
5,25,544.6856272941305,18
5,26,417.0744734613301,18
5,27,255.1909914955431,18
5,28,80.30441040908981,18
5,29,2.786854953916652,18
5,30,72.31682059220005,18
5,31,232.87444425578693,18
5,32,407.8183100522098,18
5,33,534.4152923739196,18
5,34,584.76541814192,18
5,35,533.9850462492499,18
5,36,411.063925249053,18
5,37,236.3268963386097,18
5,38,75.31331472671656,18
5,39,1.0110630651200028,18
5,40,70.89027756384012,18
5,41,234.32689945045337,18
5,42,414.31309803599663,18
5,43,544.4860626355173,18
5,44,592.1228796386906,18
5,45,557.3995205377039,18
5,46,432.0276703703338,18
5,47,252.4266774699603,18
5,48,81.05254135760015,18
5,49,1.171091613436641,18
5,50,18.43892386352005,18
5,51,60.000272083650195,18
5,52,106.61859282191678,18
5,53,136.54948646313375,18
5,54,150.06025209365365,18
